Date,Country,Confirmed,Deaths,Lat,Long,Recovered,max,max,max,median,median,median,min,min,min,Currency/USD
,,covid-19,covid-19,covid-19,covid-19,covid-19,aqi,pm10,pm25,aqi,pm10,pm25,aqi,pm10,pm25,forex
2019-10-18,Indonesia,,,,,,,,,,,,,,,14184.5
2019-10-18,Malaysia,,,,,,,,,,,,,,,4.177
2019-10-18,Philippines,,,,,,,,,,,,,,,51.128
2019-10-18,Singapore,,,,,,,,,,,,,,,1.3647
2019-10-18,Thailand,,,,,,,,,,,,,,,30.305
2019-10-21,Indonesia,,,,,,,,,,,,,,,14138.0
2019-10-21,Malaysia,,,,,,,,,,,,,,,4.183
2019-10-21,Philippines,,,,,,,,,,,,,,,51.25
2019-10-21,Singapore,,,,,,,,,,,,,,,1.3635
2019-10-21,Thailand,,,,,,,,,,,,,,,30.3
2019-10-22,Indonesia,,,,,,,,,,,,,,,14102.5
2019-10-22,Malaysia,,,,,,,,,,,,,,,4.18
2019-10-22,Philippines,,,,,,,,,,,,,,,51.05
2019-10-22,Singapore,,,,,,,,,,,,,,,1.3612
2019-10-22,Thailand,,,,,,,,,,,,,,,30.2633
2019-10-23,Indonesia,,,,,,,,,,,,,,,14042.5
2019-10-23,Malaysia,,,,,,,,,,,,,,,4.186
2019-10-23,Philippines,,,,,,,,,,,,,,,51.18
2019-10-23,Singapore,,,,,,,,,,,,,,,1.3624
2019-10-23,Thailand,,,,,,,,,,,,,,,30.28
2019-10-24,Indonesia,,,,,,,,,,,,,,,13987.0
2019-10-24,Malaysia,,,,,,,,,,,,,,,4.1848
2019-10-24,Philippines,,,,,,,,,,,,,,,51.0
2019-10-24,Singapore,,,,,,,,,,,,,,,1.3618
2019-10-24,Thailand,,,,,,,,,,,,,,,30.27
2019-10-25,Indonesia,,,,,,,,,,,,,,,14089.5
2019-10-25,Malaysia,,,,,,,,,,,,,,,4.1825
2019-10-25,Philippines,,,,,,,,,,,,,,,51.2
2019-10-25,Singapore,,,,,,,,,,,,,,,1.3636
2019-10-25,Thailand,,,,,,,,,,,,,,,30.2509
2019-10-28,Indonesia,,,,,,,,,,,,,,,14028.0
2019-10-28,Malaysia,,,,,,,,,,,,,,,4.1835
2019-10-28,Philippines,,,,,,,,,,,,,,,51.2
2019-10-28,Singapore,,,,,,,,,,,,,,,1.3631
2019-10-28,Thailand,,,,,,,,,,,,,,,30.16
2019-10-29,Indonesia,,,,,,,,,,,,,,,14018.0
2019-10-29,Malaysia,,,,,,,,,,,,,,,4.1811
2019-10-29,Philippines,,,,,,,,,,,,,,,51.141
2019-10-29,Singapore,,,,,,,,,,,,,,,1.3622
2019-10-29,Thailand,,,,,,,,,,,,,,,30.22
2019-10-30,Indonesia,,,,,,,,,,,,,,,14018.0
2019-10-30,Malaysia,,,,,,,,,,,,,,,4.1806
2019-10-30,Philippines,,,,,,,,,,,,,,,51.07
2019-10-30,Singapore,,,,,,,,,,,,,,,1.362
2019-10-30,Thailand,,,,,,,,,,,,,,,30.24
2019-10-31,Indonesia,,,,,,,,,,,,,,,14060.0
2019-10-31,Malaysia,,,,,,,,,,,,,,,4.1751
2019-10-31,Philippines,,,,,,,,,,,,,,,50.878
2019-10-31,Singapore,,,,,,,,,,,,,,,1.3607
2019-10-31,Thailand,,,,,,,,,,,,,,,30.1827
2019-11-01,Indonesia,,,,,,,,,,,,,,,14123.5
2019-11-01,Malaysia,,,,,,,,,,,,,,,4.1763
2019-11-01,Philippines,,,,,,,,,,,,,,,50.75
2019-11-01,Singapore,,,,,,,,,,,,,,,1.3606
2019-11-01,Thailand,,,,,,,,,,,,,,,30.16
2019-11-04,Indonesia,,,,,,,,,,,,,,,14014.0
2019-11-04,Malaysia,,,,,,,,,,,,,,,4.162
2019-11-04,Philippines,,,,,,,,,,,,,,,50.48
2019-11-04,Singapore,,,,,,,,,,,,,,,1.3567
2019-11-04,Thailand,,,,,,,,,,,,,,,30.16
2019-11-05,Indonesia,,,,,,,,,,,,,,,14058.0
2019-11-05,Malaysia,,,,,,,,,,,,,,,4.1476
